multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
450238,68115,M19,291,M,"Liliana, the Necromancer",{3}{B}{B},5.0,Legendary Planeswalker — Liliana,Livia Prima,,10.47,5.63,,https://img.scryfall.com/cards/large/en/m19/291.jpg?1531451995,https://scryfall.com/card/m19/291/liliana-the-necromancer
461148,72048,WAR,221,R,"Teferi, Time Raveler",{1}{W}{U},3.0,Legendary Planeswalker — Teferi,Chris Rallis,10.18,31.99,10.13,11.56,https://img.scryfall.com/cards/large/front/5/c/5cb76266-ae50-4bbc-8f96-d98f309b02d3.jpg?1555741385,https://scryfall.com/card/war/221/teferi-time-raveler
452902,69677,GRN,152,R,Assassin's Trophy,{B}{G},2.0,Instant,Seb McKinnon,10.17,30.71,10.52,5.81,https://img.scryfall.com/cards/large/front/9/0/906b6e99-128f-4c11-8daf-16099d35b0d4.jpg?1538879946,https://scryfall.com/card/grn/152/assassins-trophy
450243,68125,M19,296,M,"Sarkhan, Dragonsoul",{4}{R}{R},6.0,Legendary Planeswalker — Sarkhan,Yongjae Choi,,10.02,5.04,,https://img.scryfall.com/cards/large/en/m19/296.jpg?1531452039,https://scryfall.com/card/m19/296/sarkhan-dragonsoul
442914,67517,DOM,26,M,Lyra Dawnbringer,{3}{W}{W},5.0,Legendary Creature — Angel,Chris Rahn,9.82,21.37,7.72,1.03,https://img.scryfall.com/cards/large/en/dom/26.jpg?1524790239,https://scryfall.com/card/dom/26/lyra-dawnbringer
457166,71044,RNA,22,R,Smothering Tithe,{3}{W},4.0,Enchantment,Mark Behm,9.45,33.75,4.22,0.09,https://img.scryfall.com/cards/large/front/7/a/7af082fa-86a3-4f7b-966d-2be1f1d0c0bc.jpg?1549413957,https://scryfall.com/card/rna/22/smothering-tithe
447170,68229,M19,34,M,Resplendent Angel,{1}{W}{W},3.0,Creature — Angel,Volkan Baǵa,9.44,18.2,7.6,0.8,https://img.scryfall.com/cards/large/en/m19/34.jpg?1531451051,https://scryfall.com/card/m19/34/resplendent-angel
447337,68563,M19,201,M,Scapeshift,{2}{G}{G},4.0,Sorcery,Daniel Ljunggren,9.44,18.68,6.78,1.39,https://img.scryfall.com/cards/large/en/m19/201.jpg?1531450987,https://scryfall.com/card/m19/201/scapeshift
439814,66767,RIX,157,M,"Elenda, the Dusk Rose",{2}{W}{B},4.0,Legendary Creature — Vampire Knight,Chris Rahn,9.39,17.65,7.59,0.23,https://img.scryfall.com/cards/large/front/a/5/a52af49b-cfeb-47a8-9ce5-5d35bfa9eb75.jpg?1555040816,https://scryfall.com/card/rix/157/elenda-the-dusk-rose
253683,46505,RTR,238,R,Blood Crypt,"",0.0,Land — Swamp Mountain,Vincent Proce,9.04,21.78,6.96,0.96,https://img.scryfall.com/cards/large/en/rtr/238.jpg?1535415839,https://scryfall.com/card/rtr/238/blood-crypt
439809,66757,RIX,152,M,"Angrath, the Flame-Chained",{3}{B}{R},5.0,Legendary Planeswalker — Angrath,Raymond Swanland,8.96,14.18,6.34,0.36,https://img.scryfall.com/cards/large/front/a/4/a4d76d03-4fcf-42f8-8c2e-ad6b03d58677.jpg?1555040781,https://scryfall.com/card/rix/152/angrath-the-flame-chained
439836,66811,RIX,174,M,"Zacama, Primal Calamity",{6}{R}{G}{W},9.0,Legendary Creature — Elder Dinosaur,Jaime Jones,8.92,22.85,6.73,0.17,https://img.scryfall.com/cards/large/front/5/a/5aa75f2b-53c5-47c5-96d2-ab796358a96f.jpg?1555040980,https://scryfall.com/card/rix/174/zacama-primal-calamity
439768,66675,RIX,111,M,Rekindling Phoenix,{2}{R}{R},4.0,Creature — Phoenix,Jason Rainville,8.63,18.09,6.68,5.23,https://img.scryfall.com/cards/large/front/d/a/daccec32-84c6-4de4-9b00-c497a6ba5de8.jpg?1555040506,https://scryfall.com/card/rix/111/rekindling-phoenix
366232,47803,GTC,247,R,Stomping Ground,"",0.0,Land — Mountain Forest,David Palumbo,8.63,24.38,6.98,1.58,https://img.scryfall.com/cards/large/en/gtc/247.jpg?1535415836,https://scryfall.com/card/gtc/247/stomping-ground
366302,47453,GTC,242,R,Godless Shrine,"",0.0,Land — Plains Swamp,Cliff Childs,8.61,20.88,6.59,1.63,https://img.scryfall.com/cards/large/en/gtc/242.jpg?1535415828,https://scryfall.com/card/gtc/242/godless-shrine
461060,71872,WAR,133,M,"Ilharg, the Raze-Boar",{3}{R}{R},5.0,Legendary Creature — Boar God,Filip Burburan,8.57,32.2,8.34,3.4,https://img.scryfall.com/cards/large/front/c/0/c0109b60-09aa-4a03-92e7-0c651d976d51.jpg?1555740914,https://scryfall.com/card/war/133/ilharg-the-raze-boar
461087,71926,WAR,160,M,Finale of Devastation,{X}{G}{G},2.0,Sorcery,Bayard Wu,8.27,23.6,6.49,5.61,https://img.scryfall.com/cards/large/front/9/8/985453e7-997e-4d77-a338-cc0290791ebe.jpg?1555741061,https://scryfall.com/card/war/160/finale-of-devastation
447242,68373,M19,106,M,"Liliana, Untouched by Death",{2}{B}{B},4.0,Legendary Planeswalker — Liliana,Bastien L. Deharme,8.27,15.31,6.03,0.76,https://img.scryfall.com/cards/large/en/m19/106.jpg?1531452033,https://scryfall.com/card/m19/106/liliana-untouched-by-death
450228,68095,M19,281,M,"Ajani, Wise Counselor",{3}{W}{W},5.0,Legendary Planeswalker — Ajani,Eric Deschamps,,8.11,4.57,,https://img.scryfall.com/cards/large/en/m19/281.jpg?1531451908,https://scryfall.com/card/m19/281/ajani-wise-counselor
460943,71638,WAR,16,M,God-Eternal Oketra,{3}{W}{W},5.0,Legendary Creature — Zombie God,Grzegorz Rutkowski,7.99,18.99,3.65,3.82,https://img.scryfall.com/cards/large/front/d/f/df70f155-2336-421c-8a9d-69772d2b51a8.jpg?1555740301,https://scryfall.com/card/war/16/god-eternal-oketra
460928,71608,WAR,1,R,"Karn, the Great Creator",{4},4.0,Legendary Planeswalker — Karn,Wisnu Tan,7.64,29.75,5.51,9.23,https://img.scryfall.com/cards/large/front/3/e/3ec0c0fb-1a4f-45f4-85b7-346a6d3ce2c5.jpg?1555740224,https://scryfall.com/card/war/1/karn-the-great-creator
435283,65274,XLN,129,R,Vraska's Contempt,{2}{B}{B},4.0,Instant,Clint Cearley,7.59,10.26,5.01,0.58,https://img.scryfall.com/cards/large/en/xln/129.jpg?1527429358,https://scryfall.com/card/xln/129/vraskas-contempt
452760,69393,GRN,10,M,Divine Visitation,{3}{W}{W},5.0,Enchantment,Victor Adame Minguez,7.42,16.65,4.56,5.15,https://img.scryfall.com/cards/large/front/d/a/da3789d4-3621-44a1-bb72-8e3bbac8bf72.jpg?1538878266,https://scryfall.com/card/grn/10/divine-visitation
457395,71542,RNA,251,R,Hallowed Fountain,"",0.0,Land — Plains Island,Jedd Chevrier,7.38,18.99,6.26,1.93,https://img.scryfall.com/cards/large/front/f/9/f97a6d34-03ab-49f1-b02e-405b733f8843.jpg?1549415203,https://scryfall.com/card/rna/251/hallowed-fountain
447290,68469,M19,154,M,"Sarkhan, Fireblood",{1}{R}{R},3.0,Legendary Planeswalker — Sarkhan,Grzegorz Rutkowski,7.34,14.3,7.01,0.4,https://img.scryfall.com/cards/large/en/m19/154.jpg?1531452571,https://scryfall.com/card/m19/154/sarkhan-fireblood
366439,47815,GTC,245,R,Sacred Foundry,"",0.0,Land — Mountain Plains,Sam Burley,7.23,20.66,5.24,0.48,https://img.scryfall.com/cards/large/en/gtc/245.jpg?1535415830,https://scryfall.com/card/gtc/245/sacred-foundry
439745,66629,RIX,88,M,Twilight Prophet,{2}{B}{B},4.0,Creature — Vampire Cleric,Seb McKinnon,7.05,12.85,7.23,0.39,https://img.scryfall.com/cards/large/front/9/d/9da6974f-6753-48ac-98cd-86412cc93726.jpg?1555040334,https://scryfall.com/card/rix/88/twilight-prophet
