multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
122094,25889,TSP,274,R,Gemstone Caverns,"",0.0,Land,Martina Pilcerova,40.5,92.14,17.73,4.58,https://img.scryfall.com/cards/large/en/tsp/274.jpg?1517813031,https://scryfall.com/card/tsp/274/gemstone-caverns
50162,20716,5DN,156,R,Staff of Domination,{3},3.0,Artifact,Ben Thompson,40.19,42.05,13.59,0.08,https://img.scryfall.com/cards/large/en/5dn/156.jpg?1517813031,https://scryfall.com/card/5dn/156/staff-of-domination
191371,34646,ZEN,219,R,Marsh Flats,"",0.0,Land,Izzy,39.33,60.9,26.4,4.01,https://img.scryfall.com/cards/large/en/zen/219.jpg?1517813031,https://scryfall.com/card/zen/219/marsh-flats
382200,,MD1,10,M,Sword of Feast and Famine,{3},3.0,Artifact,Chris Rahn,39.05,,24.4,,https://img.scryfall.com/cards/large/en/md1/10.jpg?1517813031,https://scryfall.com/card/md1/10/sword-of-feast-and-famine
370510,48872,MMA,198,R,Arcbound Ravager,{2},2.0,Creature,Kev Walker,39.02,65.97,25.27,3.72,https://img.scryfall.com/cards/large/en/mma/198.jpg?1517813031,https://scryfall.com/card/mma/198/arcbound-ravager
456770,70029,UMA,174,R,Noble Hierarch,{G},1.0,Creature,Mark Zug,37.67,47.94,31.93,10.34,https://img.scryfall.com/cards/large/front/f/f/ff782973-e33c-4edd-bbd7-5c8dc8d59554.jpg?1547517681,https://scryfall.com/card/uma/174/noble-hierarch
443095,67879,DOM,207,M,"Teferi, Hero of Dominaria",{3}{W}{U},5.0,Planeswalker,Chris Rallis,37.36,83.0,34.16,15.99,https://img.scryfall.com/cards/large/front/5/d/5d10b752-d9cb-419d-a5c4-d4ee1acb655e.jpg?1544189923,https://scryfall.com/card/dom/207/teferi-hero-of-dominaria
124451,24811,CSP,142,R,Thrumming Stone,{5},5.0,Artifact,Rob Alexander,36.36,89.99,16.12,0.32,https://img.scryfall.com/cards/large/en/csp/142.jpg?1517813031,https://scryfall.com/card/csp/142/thrumming-stone
442150,67236,A25,161,R,"Azusa, Lost but Seeking",{2}{G},3.0,Creature,Winona Nelson,36.13,47.5,24.77,1.6,https://img.scryfall.com/cards/large/en/a25/161.jpg?1521723945,https://scryfall.com/card/a25/161/azusa-lost-but-seeking
209401,38293,SOM,224,R,Blackcleave Cliffs,"",0.0,Land,Dave Kendall,36.03,94.13,23.09,1.19,https://img.scryfall.com/cards/large/en/som/224.jpg?1517813031,https://scryfall.com/card/som/224/blackcleave-cliffs
147425,29561,SHM,7,R,Greater Auramancy,{1}{W},2.0,Enchantment,Chuck Lukacs,35.57,66.71,17.55,0.71,https://img.scryfall.com/cards/large/en/shm/7.jpg?1517813031,https://scryfall.com/card/shm/7/greater-auramancy
397701,57054,MM2,71,M,Bitterblossom,{1}{B},2.0,Enchantment,Rebecca Guay,35.3,50.1,25.09,8.35,https://img.scryfall.com/cards/large/en/mm2/71.jpg?1517813031,https://scryfall.com/card/mm2/71/bitterblossom
402079,58301,BFZ,15,M,"Ulamog, the Ceaseless Hunger",{10},10.0,Creature,Michael Komarck,34.42,58.37,21.8,4.05,https://img.scryfall.com/cards/large/en/bfz/15.jpg?1517813031,https://scryfall.com/card/bfz/15/ulamog-the-ceaseless-hunger
185737,34542,ZEN,172,R,Oracle of Mul Daya,{3}{G},4.0,Creature,Vance Kovacs,34.14,77.29,18.43,0.26,https://img.scryfall.com/cards/large/en/zen/172.jpg?1517813031,https://scryfall.com/card/zen/172/oracle-of-mul-daya
370514,48840,MMA,197,R,Aether Vial,{1},1.0,Artifact,Karl Kopinski,33.79,43.57,24.91,10.18,https://img.scryfall.com/cards/large/en/mma/197.jpg?1517813031,https://scryfall.com/card/mma/197/aether-vial
425947,63323,MM3,122,M,Craterhoof Behemoth,{5}{G}{G}{G},8.0,Creature,Chris Rahn,33.72,41.23,26.34,3.82,https://img.scryfall.com/cards/large/en/mm3/122.jpg?1517813031,https://scryfall.com/card/mm3/122/craterhoof-behemoth
180607,32378,ARB,109,M,Sen Triplets,{2}{W}{U}{B},5.0,Creature,Greg Staples,33.37,71.54,15.68,0.22,https://img.scryfall.com/cards/large/en/arb/109.jpg?1517813031,https://scryfall.com/card/arb/109/sen-triplets
113543,25657,TSP,281,R,Vesuva,"",0.0,Land,Zoltan Boros & Gabor Szikszai,33.02,38.38,10.27,0.56,https://img.scryfall.com/cards/large/en/tsp/281.jpg?1517813031,https://scryfall.com/card/tsp/281/vesuva
152938,29132,MOR,12,R,Idyllic Tutor,{2}{W},3.0,Sorcery,Howard Lyon,32.62,52.46,13.06,0.48,https://img.scryfall.com/cards/large/en/mor/12.jpg?1517813031,https://scryfall.com/card/mor/12/idyllic-tutor
74509,22092,SOK,53,R,Sakashima the Impostor,{2}{U}{U},4.0,Creature,rk post,32.44,118.88,12.62,0.01,https://img.scryfall.com/cards/large/en/sok/53.jpg?1517813031,https://scryfall.com/card/sok/53/sakashima-the-impostor
146750,29497,SHM,122,R,Mana Reflection,{4}{G}{G},6.0,Enchantment,Terese Nielsen & Ron Spencer,31.95,83.57,13.39,0.08,https://img.scryfall.com/cards/large/en/shm/122.jpg?1517813031,https://scryfall.com/card/shm/122/mana-reflection
423836,62911,AER,169,M,Paradox Engine,{5},5.0,Artifact,Christine Choi,31.78,37.81,17.88,0.92,https://img.scryfall.com/cards/large/front/f/d/fd8ccd81-9e11-47fa-8e16-064c52c24506.jpg?1543700975,https://scryfall.com/card/aer/169/paradox-engine
147393,29535,SHM,237,R,Rhys the Redeemed,{G/W},1.0,Creature,Steve Prescott,31.71,54.99,9.88,0.11,https://img.scryfall.com/cards/large/en/shm/237.jpg?1517813031,https://scryfall.com/card/shm/237/rhys-the-redeemed
386495,54198,KTK,230,R,Bloodstained Mire,"",0.0,Land,Daarken,31.3,52.94,20.02,5.68,https://img.scryfall.com/cards/large/en/ktk/230.jpg?1535416228,https://scryfall.com/card/ktk/230/bloodstained-mire
425888,63097,MM3,63,R,Damnation,{2}{B}{B},4.0,Sorcery,Kev Walker,30.41,35.66,17.92,2.04,https://img.scryfall.com/cards/large/en/mm3/63.jpg?1517813031,https://scryfall.com/card/mm3/63/damnation
50527,20585,DST,130,R,Mycosynth Lattice,{6},6.0,Artifact,Anthony S. Waters,29.88,57.45,12.68,,https://img.scryfall.com/cards/large/en/dst/130.jpg?1517813031,https://scryfall.com/card/dst/130/mycosynth-lattice
239961,43823,AVR,6,M,"Avacyn, Angel of Hope",{5}{W}{W}{W},8.0,Creature,Jason Chan,29.15,37.52,15.4,0.81,https://img.scryfall.com/cards/large/en/avr/6.jpg?1517813031,https://scryfall.com/card/avr/6/avacyn-angel-of-hope
461024,71800,WAR,97,M,"Liliana, Dreadhorde General",{4}{B}{B},6.0,Planeswalker,Chris Rallis,29.08,54.99,13.14,11.37,https://img.scryfall.com/cards/large/front/d/7/d75ebba8-34ca-47a0-bf13-8318ad73b343.jpg?1555740717,https://scryfall.com/card/war/97/liliana-dreadhorde-general
191577,35633,WWK,121,R,Amulet of Vigor,{1},1.0,Artifact,Warren Mahy,28.98,44.64,14.9,2.43,https://img.scryfall.com/cards/large/en/wwk/121.jpg?1530592713,https://scryfall.com/card/wwk/121/amulet-of-vigor
113521,25627,TSP,115,R,Living End,"",0.0,Sorcery,Greg Staples,28.8,51.37,13.63,1.48,https://img.scryfall.com/cards/large/en/tsp/115.jpg?1517813031,https://scryfall.com/card/tsp/115/living-end
47453,20539,DST,149,R,Sword of Light and Shadow,{3},3.0,Artifact,Mark Zug,28.11,35.86,10.56,0.43,https://img.scryfall.com/cards/large/en/dst/149.jpg?1517813031,https://scryfall.com/card/dst/149/sword-of-light-and-shadow
386729,54200,KTK,249,R,Wooded Foothills,"",0.0,Land,Jonas De Ro,27.47,44.54,18.21,5.34,https://img.scryfall.com/cards/large/en/ktk/249.jpg?1546109282,https://scryfall.com/card/ktk/249/wooded-foothills
397668,57200,MM2,5,M,"Kozilek, Butcher of Truth",{10},10.0,Creature,Michael Komarck,27.42,35.07,15.89,1.97,https://img.scryfall.com/cards/large/en/mm2/5.jpg?1517813031,https://scryfall.com/card/mm2/5/kozilek-butcher-of-truth
447354,68597,M19,218,M,"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",{1}{U}{B}{R},4.0,Creature,Svetlin Velinov,27.16,52.6,15.91,3.09,https://img.scryfall.com/cards/large/en/m19/218a.jpg?1542329383,https://scryfall.com/card/m19/218/nicol-bolas-the-ravager-nicol-bolas-the-arisen
79179,21385,CHK,279,R,"Minamo, School at Water's Edge","",0.0,Land,Jeremy Jarvis,26.98,92.52,9.71,0.22,https://img.scryfall.com/cards/large/en/chk/279.jpg?1517813031,https://scryfall.com/card/chk/279/minamo-school-at-waters-edge
383412,53752,M15,215,M,The Chain Veil,{4},4.0,Artifact,Volkan Baǵa,26.66,56.86,17.17,0.57,https://img.scryfall.com/cards/large/en/m15/215.jpg?1517813031,https://scryfall.com/card/m15/215/the-chain-veil
389756,54881,C14,283,M,Wurmcoil Engine,{6},6.0,Creature,Raymond Swanland,26.49,,15.23,12.38,https://img.scryfall.com/cards/large/en/c14/283.jpg?1530679006,https://scryfall.com/card/c14/283/wurmcoil-engine
